stimFile,correctAnswer,intensity,stimuliGender,EmotionTests.thisRepN,EmotionTests.thisTrialN,EmotionTests.thisN,EmotionTests.thisIndex,Instructions.started,Instructions.stopped,mouse.started,mouse.stopped,image.started,image.stopped,slider.response,slider.rt,slider.started,slider.stopped,next_button.started,next_button.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,session,participant,age,gender,ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,54.39809000000059,None,0.0160424900095677,None,,,,,,,,,,,,,,,,,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0001.jpg,1,2,1,0,0,0,0,,,,,55.58506760000091,57.622134900000674,1,2.629400900001201,55.527543300000616,None,55.527543300000616,None,0.6135416666666667,-0.6015625,1,0,0,next_button,0.013431889998173574,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0002.jpg,4,1,1,0,1,1,1,,,,,59.58294250000108,61.61380350000036,2,1.7459928999996919,59.51412040000105,None,59.51412040000105,None,0.6364583333333333,-0.590625,1,0,0,next_button,0.01566150999860838,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0003.jpg,3,2,1,0,2,2,2,,,,,62.41924889999973,64.43783910000093,4,2.4931649999998626,62.348614100001214,None,62.348614100001214,None,0.6302083333333334,-0.5984375,1,0,0,next_button,0.013838240000040969,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0004.jpg,1,1,2,0,3,3,3,,,,,65.51404000000002,67.53698729999996,3,2.848448399998233,65.42249380000067,None,65.42249380000067,None,0.6989583333333333,-0.6265625,1,0,0,next_button,0.008113799998682225,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0005.jpg,3,1,2,0,4,4,4,,,,,69.03952140000001,71.06055890000061,2,1.7546469000008074,68.95465619999959,None,68.95465619999959,None,0.6197916666666666,-0.5890625,1,0,0,next_button,0.0132863399994676,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0006.jpg,2,2,1,0,5,5,5,,,,,71.85550560000047,73.86752370000067,2,1.8293040999997174,71.76762450000024,None,71.76762450000024,None,0.5895833333333333,-0.5828125,1,0,0,next_button,0.0003987300005974248,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0007.jpg,1,1,1,0,6,6,6,,,,,74.43881259999944,76.46221340000011,2,2.0087426000009145,74.34537799999998,None,74.34537799999998,None,0.6947916666666667,-0.6140625,1,0,0,next_button,0.0076319500021782005,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0008.jpg,4,1,2,0,7,7,7,,,,,77.2052046000008,79.22145219999948,1,2.861276400000861,77.13730390000092,None,77.13730390000092,None,0.6989583333333333,-0.60625,1,0,0,next_button,0.014993439999670954,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0009.jpg,4,2,1,0,8,8,8,,,,,81.15906150000046,83.17027830000006,4,1.753489200000331,81.07452370000101,None,81.07452370000101,None,0.6583333333333333,-0.6140625,1,0,0,next_button,0.005578340000283788,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0010.jpg,1,1,1,0,9,9,9,,,,,83.44227060000048,85.45179310000094,2,2.1907744000000093,83.35376170000018,None,83.35376170000018,None,0.6083333333333333,-0.5984375,1,0,0,next_button,0.0004065199991600821,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0011.jpg,2,2,1,0,10,10,10,,,,,86.39510950000113,88.41288590000113,3,4.708853699999963,86.32457100000101,None,86.32457100000101,None,0.63125,-0.5859375,1,0,0,next_button,0.013041039999734494,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0012.jpg,3,1,1,0,11,11,11,,,,,92.08370430000105,94.10027420000006,1,4.1582023999999365,91.98802760000035,None,91.98802760000035,None,0.6760416666666667,-0.6015625,1,0,0,next_button,0.00171384000168473,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0013.jpg,2,1,2,0,12,12,12,,,,,97.13171010000042,99.14066900000034,2,1.8295097999998688,97.04024539999955,None,97.04024539999955,None,0.5947916666666667,-0.56875,1,0,0,next_button,0.009395540000696201,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
stims\IMG_0014.jpg,2,1,1,0,13,13,13,,,,,99.6878926999998,101.70049040000049,2,1.7370764999996027,99.59207969999989,None,99.59207969999989,None,0.6427083333333333,-0.559375,1,0,0,next_button,0.008929040001021349,None,001,Steve_check this out!,75ish,male,white,2022-12-07_13h54.13.669,blockedTrials,2022.1.3,59.95207431175397,
