stimFile,correctAnswer,intensity,stimuliGender,EmotionTests.thisRepN,EmotionTests.thisTrialN,EmotionTests.thisN,EmotionTests.thisIndex,Instructions.started,Instructions.stopped,mouse.started,mouse.stopped,image.started,image.stopped,slider.response,slider.rt,slider.started,slider.stopped,next_button.started,next_button.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,session,participant,age,gender,ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.047822499996983,None,0.0016505999665241688,None,,,,,,,,,,,,,,,,,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0001.jpg,1,2,1,0,0,0,0,,,,,19.348129599995445,None,None,None,19.264631900005043,None,19.264631900005043,None,0.5958333333333333,-0.5644444444444444,1,0,0,next_button,0.0038462000084109604,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0002.jpg,4,1,1,0,1,1,1,,,,,20.24886585000786,None,None,None,20.165507300000172,None,20.165507300000172,None,0.5958333333333333,-0.5622222222222222,1,0,0,next_button,0.005692500009899959,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0003.jpg,3,2,1,0,2,2,2,,,,,20.3992884499894,None,None,None,20.31566580000799,None,20.31566580000799,None,0.6013888888888889,-0.5577777777777778,1,0,0,next_button,0.008003400027519092,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0004.jpg,1,1,1,0,3,3,3,,,,,20.749679400003515,None,None,None,20.749679400003515,None,20.749679400003515,None,0.6013888888888889,-0.5555555555555556,1,0,0,next_button,0.008817950001684949,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0005.jpg,3,1,1,0,4,4,4,,,,,20.932971600006567,None,None,None,20.84969179998734,None,20.84969179998734,None,0.6013888888888889,-0.5555555555555556,1,0,0,next_button,0.0055293999903369695,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0006.jpg,2,2,1,0,5,5,5,,,,,21.383638700004667,None,None,None,21.133284399984404,None,21.133284399984404,None,0.6027777777777777,-0.5555555555555556,1,0,0,next_button,0.00554055001703091,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0007.jpg,1,1,1,0,6,6,6,,,,,21.616783949983073,None,None,None,21.533522499987157,None,21.533522499987157,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.0064070000080391765,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0008.jpg,4,1,1,0,7,7,7,,,,,21.83397989999503,None,None,None,21.6836767999921,None,21.6836767999921,None,0.6027777777777777,-0.5533333333333333,0,0,0,next_button,0.004726499988464639,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0009.jpg,4,2,1,0,8,8,8,,,,,22.050873700005468,None,None,None,21.98415840000962,None,21.98415840000962,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.012243450008099899,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0010.jpg,1,1,1,0,9,9,9,,,,,22.317583149997517,None,None,None,22.251042099989718,None,22.251042099989718,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.015584750013658777,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0011.jpg,2,2,1,0,10,10,10,,,,,22.38451790000545,None,None,None,22.38451790000545,None,22.38451790000545,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.003379100002348423,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0012.jpg,3,1,1,0,11,11,11,,,,,22.584403799992288,None,None,None,22.501188700000057,None,22.501188700000057,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.0073880999989341944,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0013.jpg,2,1,2,0,12,12,12,,,,,22.818083199992543,None,None,None,22.751267899991944,None,22.751267899991944,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.00859329997911118,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0014.jpg,2,1,2,0,13,13,13,,,,,22.984898099995917,None,None,None,22.918235099990852,None,22.918235099990852,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.008772699977271259,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0015.jpg,3,2,2,0,14,14,14,,,,,23.151725100004114,None,None,None,23.084994699980598,None,23.084994699980598,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.00811790002626367,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0016.jpg,4,1,2,0,15,15,15,,,,,23.602394699992146,None,None,None,23.53556980000576,None,23.53556980000576,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.012489949993323535,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0017.jpg,2,1,2,0,16,16,16,,,,,23.91910959998495,None,None,None,23.852455599990208,None,23.852455599990208,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.012814750021789223,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0018.jpg,2,2,2,0,17,17,17,,,,,24.286069599998882,None,None,None,24.219359799986705,None,24.219359799986705,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.007966200006194413,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0019.jpg,4,2,2,0,18,18,18,,,,,24.686484000005294,None,None,None,24.619729500001995,None,24.619729500001995,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.008494900015648454,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0020.jpg,3,1,2,0,19,19,19,,,,,25.07034370000474,None,None,None,25.003445199981797,None,25.003445199981797,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.008719900011783466,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0021.jpg,4,2,2,0,20,20,20,,,,,25.437466400006087,None,None,None,25.354056699987268,None,25.354056699987268,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.007829300011508167,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
stims\IMG_0022.jpg,3,2,2,0,21,21,21,,,,,25.78768539999146,None,None,None,25.7210625000007,None,25.7210625000007,None,0.6027777777777777,-0.5533333333333333,1,0,0,next_button,0.01562735001789406,None,001,,,,,2022-11-20_20h01.10.805,blockedTrials,2022.1.3,59.93482687187839,
