stimFile,correctAnswer,intensity,stimuliGender,EmotionTests.thisRepN,EmotionTests.thisTrialN,EmotionTests.thisN,EmotionTests.thisIndex,Instructions.started,Instructions.stopped,mouse.started,mouse.stopped,image.started,image.stopped,slider.response,slider.rt,slider.started,slider.stopped,next_button.started,next_button.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,session,participant,age,gender,ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.981361799989827,None,0.00911562005057931,None,,,,,,,,,,,,,,,,,001,,,,,2022-11-21_14h12.46.798,blockedTrials,2022.1.3,59.9818854653299,
stims\IMG_0001.jpg,1,2,1,0,0,0,0,,,,,18.549028299981728,None,4,0.8309482000186108,18.48207449997426,None,18.48207449997426,None,0.6097222222222223,-0.5955555555555555,1,0,0,next_button,0.007691320002777502,None,001,,,,,2022-11-21_14h12.46.798,blockedTrials,2022.1.3,59.9818854653299,
stims\IMG_0002.jpg,4,1,1,0,1,1,1,,,,,19.632956899993587,None,4,0.3433216999983415,19.53312389997882,None,19.53312389997882,None,0.6180555555555556,-0.5866666666666667,1,0,0,next_button,0.0034912799892481416,None,001,,,,,2022-11-21_14h12.46.798,blockedTrials,2022.1.3,59.9818854653299,
stims\IMG_0003.jpg,3,2,1,0,2,2,2,,,,,20.1667547999823,None,4,0.330910299991956,20.083392799977446,None,20.083392799977446,None,0.6375,-0.6088888888888889,1,0,0,next_button,0.007483679975848645,None,001,,,,,2022-11-21_14h12.46.798,blockedTrials,2022.1.3,59.9818854653299,
stims\IMG_0004.jpg,1,1,1,0,3,3,3,,,,,21.03418689998216,None,4,0.30810870000277646,20.784060599980876,None,20.784060599980876,None,0.6902777777777778,-0.6111111111111112,1,0,0,next_button,0.00257712000166066,None,001,,,,,2022-11-21_14h12.46.798,blockedTrials,2022.1.3,59.9818854653299,
stims\IMG_0005.jpg,3,1,1,0,4,4,4,,,,,21.53477679999196,None,4,0.4976666999864392,21.38476669997908,None,21.38476669997908,None,0.6430555555555556,-0.6111111111111112,1,0,0,next_button,0.0061432800139300525,None,001,,,,,2022-11-21_14h12.46.798,blockedTrials,2022.1.3,59.9818854653299,
stims\IMG_0006.jpg,2,2,1,0,5,5,5,,,,,22.385485799983144,None,4,0.33656280001741834,22.26869159998023,None,22.26869159998023,None,0.6555555555555556,-0.6,1,0,0,next_button,0.014079840009799227,None,001,,,,,2022-11-21_14h12.46.798,blockedTrials,2022.1.3,59.9818854653299,
stims\IMG_0007.jpg,1,1,1,0,6,6,6,,,,,23.00304199999664,None,4,0.395183700020425,22.852928399981465,None,22.852928399981465,None,0.6027777777777777,-0.6155555555555555,1,0,0,next_button,0.0054812800080981106,None,001,,,,,2022-11-21_14h12.46.798,blockedTrials,2022.1.3,59.9818854653299,
stims\IMG_0008.jpg,4,1,1,0,7,7,7,,,,,23.60373509998317,None,4,0.3161087000044063,23.52023769999505,None,23.52023769999505,None,0.6555555555555556,-0.6044444444444445,1,0,0,next_button,0.010847200028365478,None,001,,,,,2022-11-21_14h12.46.798,blockedTrials,2022.1.3,59.9818854653299,
stims\IMG_0009.jpg,4,2,1,0,8,8,8,,,,,24.204121499991743,None,4,0.4788750999723561,24.120747299981304,None,24.120747299981304,None,0.6444444444444445,-0.6022222222222222,1,0,0,next_button,0.005674879968864843,None,001,,,,,2022-11-21_14h12.46.798,blockedTrials,2022.1.3,59.9818854653299,
